序號,標題,網址,留言者名稱,留言內容,留言時間,贊成論點/其他想法,贊成數量,反對數量
M-333,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Kyoo,與其上一堆沒什麼用的課程，不如把那些時間來讓學生多睡一點，整天說什麼多元學習，最後還不是要瘋狂拼升學。,2025-09-14 16:08:49,其他想法,5,0
M-345,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,尤金,我認為縮短上課時間是好的，畢竟現在上課時間有數據支持台灣上課時間是全球前幾長的，但是有三個面向我認為須多加考慮。首先，從時間來看，若依照提議所述施行10點上學，並非如文中所指所有人均有能力能夠獨自上學，是否有某些特殊例子或是家庭因素，且若10點上學，是否會依其他留言所述，因10點上學而成為熬夜理由。其次，以課程而論，縮短兩小時的上課時間大概需一個禮拜減少10節課程，因主要課程例如國英數等等因進度壓力及教學流程是不可能刪減的，所以刪減的必然是家政、資訊等多元課程，刪減後學生是否能忍受一整天均上主科，以及拋棄多元課程促進多元學習。最後，從因果說起，現代學生睡眠時數減少是否完全因為上課時間過長，若縮短上課時間，是否能真正改善文中所述問題，而非反而增加家長及學生負擔。因此，我仍持反對意見，立意雖好，但不夠完善，沒有有力證據支持減少上課時間就能改善上述問題。,2025-09-14 16:29:21,贊成論點,0,1
M-353,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,吳,"不同意，這樣講是不是規律作息更重要，不如把上課時間變成8-14點還比較可以接受，這才是該有的正常作息吧，
另外我覺得去掉多元課程可能損害那些平常沒辦法學到但對這些有興趣的人的權益，像以前我上過的多元課程像烹飪、科學、英文口說，我就覺得蠻有意義的還不用花錢
不如14點後改成多元課程時間，可以選擇是否參加多元課程",2025-09-14 16:43:48,贊成論點,0,2
M-358,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,女神大大,「全面移除非必要多元課程」可以改成自由參加就像選修這樣（？,2025-09-14 16:55:52,其他想法,0,0
M-359,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,顧妘溱,我是高中生，就讀土城某高中的理組實驗班，每天通勤往返土城約 2 小時（單程約一小時）。為了趕車我必須在早上 6:00 起床、6:30 以前出門，平日還要留校晚自習到 21:00 才回家，這樣的作息造成我長期睡眠不足，幾乎沒有一天能達到標準的 8 小時睡眠。 睡眠嚴重不足讓我白天上課時常打瞌睡、學習效率降低，也使情緒容易失控、對挫折的耐受度大幅下降，這反映出睡眠與壓力已經深刻影響我的心理健康。 我理解教育應兼顧多元發展，但現行安排使得像我這樣需長時間通勤、面臨高度課業壓力的學生無法負荷。為了保障學生的身心健康與學習品質，我強烈支持將非必要的多元課程移除，並檢討上課時段安排（例如避免過早上課或過長延時），以減少慢性睡眠剝奪的風險。請考量通勤族學生的實際情況，讓教育回到「讓學生能健康學習」的初衷。,2025-09-14 16:56:58,其他想法,0,0
M-366,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,捲,其實後來想想 這個個提議本身就有問題了 上課時長縮短了沒錯 但那麼晚才放學 那這樣學生晚睡的問題還是沒有解決啊 而且也不是非必要多元課程的問題 反而更需要這些多元課程 很多學生讀高中其實是還沒有想好未來要做什麼 所以更應該讓學生自己去探索才對 108課綱既要中式教育又要美式教育 只會造成學生及老師更多的負擔😓把上學時間變晚只是治標不治本 真正的問題在課綱上⋯（但上學時間也是真的應該要縮短）,2025-09-14 17:12:21,其他想法,0,2
M-377,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,捲,學生反而最需要的就是多元課程 但教育部不願意放棄中式教育⋯⋯,2025-09-14 17:28:22,其他想法,0,0
M-378,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,安,"1. 現今大多數的學生11點後才上床睡覺，若將上課時間改至10點，那這些本來就晚睡的學生究竟要幾點才會去睡覺？
2. 多元課程就是希望學生能學到更多事情。而且請問大部分的學生在多元課程的時間休息是教育部的問題嗎？如果學生有動力想學到更多不同的知識，他就不會在多元課程睡覺。
3. 每天早起上課沒辦法專心？真可笑，如果學生把自己的睡眠時間提早15分鐘，隔天就會提早15分鐘起床，大腦就可以提前開始運作，就不會發生每天早上上課無法專心的問題。
4. 提出這個議案的人不覺得自己的說的利益與影響很可笑嗎？請問將上學時間改成10點到16點跟放學後有更多空餘時間有什麼關系？現在多數學生放學後都在補習，請問更改上學時間會讓學生補習的時間變少嗎？
5. 上課總時數減少但老師要教的內容一樣多，會導致老師上課上得越快越簡略，使得學生聽不懂的部分變多，進而影響補習的時長。請問這樣會讓學生的壓力減輕嗎？
6. 並不是全部的國高中生都有自行通勤上下學的能力，像我本身住家附近沒有公車、捷運、ubike站，如果沒有配合家長上下班的時間，我就只能自己走去學校，平常我爸媽騎車載我去學校要20分鐘，我如果用走的要走到什麼時候？請不要以為每個人住的地方交通都很發達。
大家請不要再為這種沒有現實基礎的提案瞎起鬨了。",2025-09-14 17:30:18,贊成論點,2,2
M-385,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,哈姆啾,"十年前念高中的時候早上七點半開始早自習
每天八堂課上到五點老師進度都已經非常吃緊了
現在課堂數減少還外加很多其他的多元課程
真的不知道老師要怎麼教
聽當過頂大微積分助教的人說
現在學生普遍程度比之前差很多
大學老師也很難教
很大部分老師只能降低自己的標準
現在再減少國高中的學習時數
不是更加降低國家整體的競爭力?
再來減少學校的教學時數肯定會影響學校老師的教學效果
為此可能學生會需要更多的時間去補習
這樣不是更不能解決問題嗎?",2025-09-14 17:47:25,贊成論點,0,2
M-388,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,YNN,"以時間上來說的話9.就剛剛好抓10.有點太多了，家長不用很早起弄東西載小孩去學校，抓的時間也差不多載完就可以去上班，而且學校如果配有營養午餐，如果是10.要到學校，抓最晚大概9.30吃早餐，那隔中午用餐的時間並不多，也有可能造成糧食浪費的情況。但相對的如果10.上課，有些額外的課程就無法排上，只能上正課，所以也會少了額外的身心或娛樂課程，如果每天都要上正課也不會比較好，都有利弊得失的問題是需要仔細衡量考慮，而且如果這樣的話教師的薪水又該如何調整？
請AI幫忙的重點整理如下：
1.	早餐與用餐銜接不良：若把早餐抓到 9:00&ndash;9:30 才吃，距離中餐時間過短，可能影響食慾並增加糧食浪費，即使學校有營養午餐也難以完全補足。
	2.	家長接送與通勤實際負擔：表面上看晚起，但家長仍需按接送節奏調整，未必能減輕交通高峰或工作衝突。
	3.	壓縮課外與多元學習時間：10:00 上課會影響選修、體育、社團等額外課程的安排，長期不利於學生身心發展。
	4.	教師與制度配套不足：若改制，需明確規劃教師上班時段、薪資、補償與行政配套，否則會產生不公平與執行問題。
建議：先進行試辦與完整影響評估（餐飲、交通、家長/學生/教師意見），並考慮彈性或分流方案，避免一刀切。",2025-09-14 17:53:55,其他想法,0,0
M-393,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,啊,高二的課程都是主要科目能用來緩和的多元科目已經很少了，如果縮短上課時間拔除多元課程學生可能會直接被榨乾在學校。而且放學之後一定會有補習班，又是一場硬戰。,2025-09-14 18:03:08,贊成論點,0,0
M-437,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,婷,老師都拿多元彈性課程來上本科或者拿來考試，下課也在考試，那根本沒有這個必要在借課考試了啊，其他的彈性課老師都不用上課嗎？,2025-09-14 19:09:23,其他想法,2,0
M-469,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,彣,"我真的覺得可以改10.～16.
雖然說現在高中生改8.上課
但還不是要早起趕校車 
重點是學校還要強迫我們上第八節
本來這麽早起床就已經夠累了
下午還要硬撐著上課
真的不是我在說 普科生書一大堆就讀不完了 還要加入一些多元學習 利用到學生午休時間 然後5.放學真的太累",2025-09-14 19:48:59,其他想法,2,0
M-477,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,黃,"我看到很多人會說：上課時間延後，學生只會更晚睡覺，更晚起床，上課專注度下降形成惡性循環。
但我想說的是，若上課時間被改變，學生想幾點睡覺是自己的選擇我們無權干擾。現在早上7:20前就要到學校，大部分學生6:00起床，若要睡滿8小時便得10:00上床，但這真的簡單嗎？

很多學生都有第八節課，下課4:30，約4:406:00甚至更晚。國民健康署推動的運動533，每週五次每次30分鐘，到家後洗漱打理約1.5小時，又要讀書寫功課。假設國英數自社各讀15分鐘共75分鐘，再加寫作業1.5小時，此時計已經9:30~10:00。學生本該有休閒娛樂時間，若還有社團、運動、家事、打工、通勤更長等，想10:00前睡幾乎不可能。更何況現在多元課程如報告、繪圖、AI作業、音樂練習等都會佔用時間。就拿我自己舉例，每次讀完科目、作完功課，運動和休閒都大幅減少，要在10:00前睡幾乎是夢。等做完往往11點多甚至12點，我做事也不分心，但依然無法實現早睡，補習生更難。

再者，台灣很多學校沒有捷運，大眾運輸也不便。偏鄉或非六都學校公車常只有兩班，第一班約早上六點，學生必須更早起，錯過還得等40分鐘到1小時。有時就算沒錯過，公車到學校也已遲到。若上課改成9點或10點，學生搭車不再那麼擁擠，容錯率更高，也不用和上班族擠同班車，通勤會輕鬆許多。

另外，學生是學生，上班族是上班族。我看到很多上班族說：現在上課時間都受不了，以後上班怎麼辦？但上班族身體已發育完全，而學生正值發育期，需要更長睡眠。

總之，我認為早上9點或10點上課都好，每個人都應該擁有自己的休閒娛樂，不可能永遠活在壓力下。除了制度要改，我覺得上課時間縮短也很重要。",2025-09-14 19:57:09,其他想法,6,0
M-481,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,YJ妍,我覺得可以  其實課綱也讓學生壓力很大 因為太過緊湊 多元 也許在老師們眼裡是希望我們學生可以有更多思考的能力和站在其他角度思考 但題目都是選擇題 都是封閉性的 如果用問答題就會更了解學生的想法 學生也會在回答的過程衍生出不一樣的想法 或許調整了上課時間及稍微調整了課綱 也許會再好一些 芬蘭被譽為世界教育第一的國家 他們從小就教育孩子多思考 老師們給他們很多開放性的題目 讓他們討論等等 並帶他們探索各種不一樣的興趣 也就是從小時候就開始尋找興趣 並養成思考的能力 美國固然有美國的好 但我認為芬蘭的教育方式台灣可以試試看 雖然不能全面模仿一個國家 但我們可以試試看 從中找到好處再修改需要改進的地方 身為學生的我 常常覺得很疲憊 不只是實質上的 精神上得更多 睡眠固然重要 但心裡也需要 而心理需要慢慢被撫平的是教育觀念和制度 （我覺得國中生 要先培養自律跟自理再實施這個計劃 因為高中生已經慢慢可以掌握自己的生活了）,2025-09-14 20:02:04,其他想法,5,0
M-515,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,U,如果沒有那些多元課程，升學主義只會更加嚴重，對於那些不喜歡學科的學生來說會少了一個機會去探索自己真正的興趣。舉自己的例子來說，我能夠每天提起精神去學校的動力便是那些「微不足道」的多元課程，而不是天天念經的重點學科。其實並不是「早起」讓人精神低落的，最讓人感到無聊、困倦的是那些無聊又無實際用處的主科課程。,2025-09-14 21:00:47,贊成論點,0,0
M-534,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,HiCK,"1.6小時的課程是能上什麼?要一整天緊湊的一直讀嗎?這樣才會壓力大憂鬱吧?
2.刪除多元課程?講實話多元課有些我確實不喜歡上，但是多元課是少數可以減少壓力的課程，難道要6個小時一直在讀書嗎?
3.有善改善學生睡眠品質?不過是熬夜的藉口，是自己沒有規劃好時間而已。
4.國高中生自行通勤上學?是要增加逃課人數嗎?而且早上有家長開車帶你上學不好嗎?可以晚一點起床，上課前也不用累得氣喘吁吁的，滿身大汗。
5.『放學後能有更多時間進行個人興趣探索、製作學習歷程、進行社交活動、從事健身運動、專心讀書學習』?你不管9點上課還是10點上課不都是一樣16點下課嗎?有什麼更多時間?",2025-09-14 21:32:05,贊成論點,2,0
M-535,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,CCY,"延後上學值得做，但「10:00上課;16:00下課＋刪多元課程」是矯枉過正了。美國兒科醫學會AAP/美國疾病控制與預防中心CDC 指出關鍵在於不早於 8:30 開學即可改善睡眠與學習，毋須把整天往後推兩小時；根據兒福聯盟的調查，超過 90% 國高中生睡眠不足 8 小時，甚至有 37% 只睡 5~6 小時。真正壓縮睡眠的原因，不只是「太早上學」，還包括補習班、過量作業與不規律的晚睡習慣。研究也證實：補習／私教時間越長，夜間睡眠越短；不規律的就寢時間會直接降低睡眠品質。單純改鐘點，如果制度與習慣不改，該考的考試不會少，一樣要複習，這樣效果會被抵銷
而 108 課綱明確規畫高中每週 35 節、每日 7 節，多元/選修支撐學生的探索能力，全面縮短時段與刪課會破壞課綱結構。你覺得有可能因為這平台就打上面行政官的臉嗎?政策上，教育部已鬆綁早自習並禁止考試，但實務上還是照樣考，不然就會變成下課時間考(我也當過108受害者啊)，先把「早到校還要複習考試內容的壓力」確實降下來，再以 8:30 開課、課務集中與睡眠教育配套進行一年期試辦，用睡眠時數、遲到率、交通尖峰等指標決策才務實
我認為更務實的做法還有：延後到校到 8:00~8:30、8:30 開課（符合國際建議，也能保留完整節數與社團時間）、全面落實早自習自主化，取消每日強制考試或集合、校門分流與彈性早點名，避免大家同一時間擠爆校門口附近、管控作業量與補習時間，搭配睡眠教育，改善學生「越晚睡、越晚起」的惡性循環、先以一年期試辦，用睡眠時數、遲到率、交通尖峰、師生滿意度等指標評估，再決定要不要擴大。
總結就是學生需要的不是「10:00上課16:00下課」這種極端調整，而是「制度面與生活習慣的改善」。讓第一節課從 8:30 開始、落實早自習自主、減輕作業與補習負擔，才是能真正幫學生睡得好、學得好的改革方向。",2025-09-14 21:32:58,贊成論點,0,0
M-543,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,風,"之前不就有提過相關議題 然後把高中的早自習移除了?
國中是沒有 但我仍然只同意國高中早自習移除 所以國中部分我不提意見

但想要把上課時間再調晚的高中生們就別再當草莓了好不好? 都給你調到第一節早上八點前再來就好 以前可是七點要到欸

不要說什麼 補習回來已經10點了 回家寫作業 就沒時間睡覺了 那你們根本不該在這裡提議這有的沒的 因為根本跟學校無關 

學校頂多到6點多就放學 回來寫作業 吃飯 讀書 甚至塞一些休閒娛樂都夠你10點直接上床睡覺 不上補習班就根本沒有 慢性睡眠剝奪 學生憂鬱 自傷自殺風險提升 這種不足夠或根本無論據的結論

問題就在家長強制不管孩子身心 以及 補習班上課時數 那就該提議 得由小孩同意才能參加補習班 提議直接廢除補習班根本沒用 因為涉及補習班之商業自主行為 你連附議階段都到不了

就算教育部願意照顧你們這群草莓 把上課時間延晚到10點 你們也只會晚上想到 反正明天10點才上課 那我就再玩久一點 或再寫久一點 到最後 你根本沒休息的比較好 然後才上6小時課 你啥都沒學到 然後之後出社會了 公司要求你9點甚至8點半到 你們因為調晚 只習慣10點上課 到最後只會瘋狂遲到 連班都沒上到就被炒了 可能面試都因為你這起床時段而不斷被打槍

「全面移除非必要多元課程」那「非必要多元課程」是哪些? 不把這些舉例出來 只想著把多元課程拿出來開地圖炮? 你不學學多元課程帶給你的技能 就只想大學或公司教你這些? 你想太多了吧 你高中就想刪掉這些 你大學還會想學? 還想期望公司會培訓你這些技能? 想的太完美了吧 哪有這種好或豪賭的公司會願意花錢去錄取毫無技能的人 至少學點技能才行阿

TL;DR 不要把補習班相關問題推給學校 總想著延後時間 結果根源還在 睡眠時間還是不夠 繼續無限上綱 越推越晚 再推 連全職工作 上班時段都配合不了 以後怎麼維生? 不要覺得多元課程很多餘 之後求職不得才抱怨不教這些 也別覺得大學或公司會教這些 高中不想上 大學你怎麼會自願選? 公司也不會願意培訓毫無技能的人

https://join.gov.tw/idea/detail/ac95b365-1bd5-4a8b-81b1-7ef613efdda6",2025-09-14 21:39:59,贊成論點,0,0
M-561,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,jenny000,"乾脆別上課
都變爛草莓
認真覺得是教育系統要更改
支持多元課程
死板的教育才是元兇",2025-09-14 21:55:12,贊成論點,1,1
M-565,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,YOU,"看到大多提議說因為補習，而犧牲了放學時間，並且有大部份人都不是自願補習。
那我得提出殘酷的現實，怎麼會覺得改成10點上課，就能晚一兩個小時起床，怎麼會認為這段時間可以任由自己分配？
更有可能是家長要求原本的起床時間起床，然後去補習班新開的早課上課。
這種是因為成績至上的畸形概念而演變成這種情況，應該要從課綱與師資開始改，刪除真正多餘的範圍，讓老師不用趕課、考試範圍縮短，使孩子不用焦慮到被逼著補習。
而且不要妄想10點上課就能順便改掉課綱，他只會讓老師上課更趕，刪掉多元課程更是沒必要，會讓很多人失去就業機會之餘，只會把學校往讀書至上的方向推，如果討厭這種想法就不該把多元刪掉，而且該提出修改課綱，譬如多多研究國外的課程方式，整理後在提出台灣哪裡需要改進，而不是單純刪掉課程。
而且學校把課刪了，讓家長將孩子送到才藝班上課，那孩子還不是一樣會睡眠不足。
其實從一開始提議的方向就歪了，不該提出縮短時間這種治標不治本的方式，而是要從更改課綱開始下手，好好研究國外為什麼能夠擁夠擁有較短的上課時間，好好的整理出來，在比對臺灣的課綱，去提出較為明確的更改邏輯。",2025-09-14 21:58:34,贊成論點,1,0
M-609,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,= =,"我先說 我是一名高中生
1.上課時間縮短 變相的一些多元課程可能被移除 那不就真的要將學生變成考試機器
2.我不信縮短上課時長可以增加多少讓學生探索自我的時間 要馬老師出一堆東西要你自習 要馬被綁在補習班 那這樣算是在增加補習班的數量嗎?
3.會早睡的會熬夜的還是一樣 不要說什麼縮短時長延後上學時間就可以''有效''改善學生睡眠品質
4.造成憂鬱等心理性疾病的原因有很多 並不全部的主要原因都是文中所說的慢性睡眠所導致 那如果是家庭因素造成憂鬱不就要離家出走?
5.若是僅修改上課時間 而不是針對現今的升學制度以及大考內容做適度調整 那心理疾病的人數也不會降低
6.即使通過 出社會後也不可能因為你國高中10.上課而調整上班時間 別傻了好嗎",2025-09-14 22:49:06,贊成論點,1,1
M-624,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,拜託不要,我高一生 每天通勤上下學單趟車程1小時半起跳 但我不希望延後上學時間 通勤確實累 但這是我自己的選擇 我也願意為了上學調整自己的作息 只要懂得利用時間 甚至捷運上也能做很多事 回到家最晚11.睡的話 在此之前還有4小時的自由運用時間 我當然也有補習 補到10. 回到家快12. 這確實很晚不可否認 但我認了 我叫補習時間儘量排到假日和週五 至少爭取足夠的休息時間 可取而代之的我不會擁有完整的假期 不過這已經是對我來說最好的選擇每一個規劃當然不可能顧及到每個人 可每個人卻能自己想辦法規劃自己的人生 至少在我上起來 沒有什麼課是真的毫無意義的 多元選修又何嘗不是多元發展的一種？實施後會有什麼後果想清楚了嗎？我們的國家社會真的適合這種教育制度嗎 只用極少的文字 也沒有做好各方面的打算 這究竟是真的為了社會好 還是自私的一時興起 想改善我完全贊成 但要照顧到非常多的層面 這個提案真的有深思熟慮嗎？這又何嘗不是一種利用呢 利用我們這些心智尚未發展成熟沒有完整決斷能力 時常盲目跟隨的學生 拜託提出更有意義 有建設成性的提議和完整的規劃好嗎？,2025-09-14 23:06:09,其他想法,3,0
M-626,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,拜託不要,我高一生 每天通勤上下學單趟車程1小時半起跳 但我不希望延後上學時間 通勤確實累 但這是我自己的選擇 我也願意為了上學調整自己的作息 只要懂得利用時間 甚至捷運上也能做很多事 回到家最晚11.睡的話 在此之前還有4小時的自由運用時間 我當然也有補習 補到10. 回到家快12. 這確實很晚不可否認 但我認了 我叫補習時間儘量排到假日和週五 至少爭取足夠的休息時間 可取而代之的我不會擁有完整的假期 不過這已經是對我來說最好的選擇每一個規劃當然不可能顧及到每個人 可每個人卻能自己想辦法規劃自己的人生 至少在我上起來 沒有什麼課是真的毫無意義的 多元選修又何嘗不是多元發展的一種？實施後會有什麼後果想清楚了嗎？我們的國家社會真的適合這種教育制度嗎 只用極少的文字 也沒有做好各方面的打算 這究竟是真的為了社會好 還是自私的一時興起 想改善我完全贊成 但要照顧到非常多的層面 這個提案真的有深思熟慮嗎？這又何嘗不是一種利用呢 利用我們這些心智尚未發展成熟沒有完整決斷能力 時常盲目跟隨的學生 拜託提出更有意義 有建設成性的提議和完整的規劃好嗎？,2025-09-14 23:07:46,贊成論點,0,1
M-642,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,泡泡糖愛吹泡泡,目前台灣發育期孩子上課時間是一個違憲的教育。孩子5-7：30在分泌生長激素。  是屬妨礙幼童發育罪。 不應以家長無法接送為理由！國小生應列入延後上課範圍！並規劃相關配套措施。屏棄舊有填鴨上課教育。因材施教。探討孩子志向並加以開發相關潛能。多元學習 培養創造力 ！  目前仍有學校仍然以恫嚇方式教育。例如。不怎麼做。就記警告。 希望能以吸引力 幽默 風趣方式誘導孩童建立自律 主動學習。,2025-09-14 23:20:57,贊成論點,0,0
M-655,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,瑜,移除多元課程根本只是讓其他主科老師另外找時間考試而已 10點到16點上課的話 還是會有老師說10前到校「練習」題目或「自主學習」」,2025-09-14 23:32:07,其他想法,0,0
M-675,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,肉絲,"其實我覺得改成10點上課反而增加了老師和學生的壓力
上課時間被壓縮但教材沒有反而會讓老師上不完課，叫學生自己回家讀。加上108課綱推出的多元學習，讓一個禮拜的正課堂數減少很多了，再減少下去恐怕只會增加學生的負擔。而且沒有老師的講解，就自己讀一些完全沒接觸過的知識點反而需要花比平常更多時間，完全是反效果。
真正必須改的是教學的教材，有些教材其實放在日常生活中根本不會用到，教了以後也只會忘記。如果真的要改政策，就必須從源頭改吧？而不是治標不治本",2025-09-14 23:49:07,贊成論點,1,1
